stationID,stationLng,stationLat,label
1,120.75603,27.97014,5
2,120.63866,28.00506,3
3,120.5877,28.03927,12
4,120.61963,27.98663,6
5,120.67115,28.05615,2
6,120.68056,28.0635,2
7,120.641,28.0131,3
8,120.56917,27.91704,11
9,120.6501,27.99378,3
10,120.66211,28.0235,3
11,120.72251,27.99544,1
12,120.81027,27.8751,7
13,120.61133,28.02484,8
14,120.66541,28.02496,3
15,120.63227,27.97664,6
16,120.62205,28.07646,10
17,120.67718,27.97886,4
18,120.70562,28.00286,1
19,120.66958,27.98443,0
22,120.82208,27.921557,7
23,120.667466,28.015057,3
25,120.667973,27.976204,4
26,120.66023,27.91714,15
27,120.71444,28.00949,1
29,120.671,27.9926,0
30,120.64358,28.01174,3
31,120.63235,28.02343,3
32,120.77439,28.02917,14
35,120.57281,28.06905,10
36,120.70688,27.99005,1
37,120.66789,27.97486,4
38,120.69828,28.003979,1
39,120.62483,28.10718,10
40,120.65677,27.85902,15
41,120.61208,27.95746,11
42,120.65569,28.0014,3
43,120.644174,28.023236,3
44,120.633894,28.008228,3
45,120.658462,28.019513,3
46,120.61056,28.04917,2
47,120.75967,27.97433,5
48,120.67661,28.01947,3
49,120.58411,28.02104,12
50,120.78925,27.86632,7
51,120.595277,28.010833,8
52,120.80145,27.93816,7
53,120.64222,27.98833,6
54,120.620672,28.018598,9
55,120.66563,27.85781,15
56,120.75639,28.06889,16
57,120.61511,28.00954,9
58,120.74181,27.97969,5
59,120.80278,27.90238,7
60,120.80392,27.89629,7
61,120.67408,28.00969,3
62,120.70493,27.92028,13
63,120.61139,28.01488,8
64,120.65434,28.01276,3
65,120.631402,28.02326,2
66,120.6088,28.0485,2
67,120.637958,28.007478,3
68,120.61708,28.02467,8
69,120.609474,28.055285,2
71,120.67932,28.01392,3
72,120.59704,27.97367,6
73,120.63314,28.01003,3
74,120.65852,28.00263,3
75,120.59105,28.03269,12
76,120.71034,27.99619,1
77,120.64853,28.00743,3
78,120.674444,27.969361,4
79,120.696181,27.921889,13
80,120.62756,28.01143,9
81,120.699031,28.003179,1
82,120.68048,27.99276,0
83,120.71542,28.0073,1
84,120.68913,28.01988,1
85,120.753206,27.958296,5
86,120.65181,28.01563,3
87,120.6877,27.92144,13
88,120.66334,28.02363,3
89,120.65703,28.0164,3
90,120.78179,27.96939,7
91,120.74149,27.97831,5
92,120.65947,28.02774,2
93,120.66753,27.95117,4
94,120.68241,28.00246,0
95,120.804451,27.871381,7
96,120.68191,27.96572,4
97,120.6698,28.02629,3
98,120.644374,27.996306,3
99,120.65321,28.04406,2
100,120.82567,27.91637,7
102,120.579219,27.868881,17
103,120.6582,28.01732,3
104,120.601,28.0211,8
105,120.56436,27.9972,6
106,120.54774,27.9806,6
107,120.61584,28.06205,10
108,120.5774,27.98228,6
109,120.59087,28.03316,12
110,120.69151,28.00086,0
111,120.65155,27.95612,4
112,120.61007,28.01472,8
113,120.63736,28.01211,3
115,120.83188,27.94565,7
116,120.80995,28.06043,14
117,120.592702,28.026108,8
118,120.633096,27.985061,6
119,120.703061,27.994472,1
120,120.607999,28.0183,8
123,120.58851,28.08948,10
124,120.62341,27.99261,6
125,120.62584,27.98925,6
126,120.696342,28.014957,1
127,120.68866,27.9207,13
128,120.64971,28.0248,2
129,120.703,28.0053,1
130,120.65562,27.90369,15
131,120.555876,28.09088,10
132,120.66619,27.85697,15
133,120.69621,27.9535,13
134,120.728443,27.989953,1
135,120.622,27.9974,9
136,120.65091,28.01434,3
137,120.68783,28.09455,16
138,120.69476,28.04427,1
140,120.58589,28.076,10
141,120.617241,28.00949,9
142,120.60483,28.07201,10
143,120.65895,28.04546,2
145,120.652283,28.044045,2
146,120.69204,27.92415,13
147,120.60085,28.01625,8
148,120.8205,27.87141,7
149,120.65935,28.01646,3
150,120.5556,27.8537,17
151,120.673429,27.897721,15
152,120.82389,27.91139,7
153,120.63748,28.00858,3
154,120.56566,27.9473,11
155,120.82456,27.90066,7
156,120.749599,27.965975,5
157,120.677226,27.980814,0
158,120.654566,28.0276,2
159,120.66804,27.94833,4
160,120.71467,27.97864,1
161,120.656111,28.043888,2
162,120.647761,28.014918,3
163,120.708492,28.0157,1
164,120.65969,27.95724,4
165,120.64232,28.01117,3
166,120.83867,27.93672,7
167,120.7928,27.94045,7
168,120.63386,27.88708,15
169,120.6053,28.01257,8
170,120.70636,27.92087,13
171,120.63977,28.00072,3
172,120.62069,28.0428,2
173,120.70387,27.92548,13
174,120.64323,28.04894,2
175,120.80704,27.91609,7
176,120.6105,28.02521,8
178,120.65108,28.01444,3
179,120.69689,27.92748,13
180,120.659948,28.011953,3
181,120.69185,27.97517,4
182,120.61656,28.01939,8
183,120.650046,27.995578,3
184,120.66038,28.02537,2
185,120.59653,28.021498,8
186,120.81802,27.8721,7
187,120.57877,27.99929,6
188,120.63103,27.97988,6
189,120.69007,27.98396,0
191,120.68116,27.96628,4
192,120.666557,28.002732,3
193,120.78452,28.02809,14
194,120.67726,28.0005,0
195,120.62863,28.041109,2
196,120.653,28.04336,2
197,120.67266,27.99572,0
198,120.679324,27.99428,0
200,120.70203,28.00223,1
201,120.625,28.0203,9
202,120.65515,28.0087,3
203,120.80926,27.87118,7
204,120.62566,27.99015,6
205,120.68917,27.9885,0
206,120.81513,27.87965,7
207,120.65225,27.99871,3
208,120.7226,28.00568,1
209,120.61381,28.01202,8
211,120.58988,28.01211,12
212,120.7872,27.95491,7
213,120.63564,28.01009,3
214,120.625528,28.01125,9
215,120.69124,27.92415,13
216,120.697185,27.998761,1
217,120.59444,28.01578,8
218,120.69166,27.92452,13
219,120.70731,27.92298,13
220,120.58543,27.9974,6
221,120.71768,28.00742,1
222,120.662653,28.009453,3
223,120.55053,27.87287,17
224,120.66976,28.01492,3
225,120.71354,28.01417,1
226,120.6444,27.918611,15
227,120.63083,28.05333,2
228,120.644121,28.024509,3
229,120.80706,27.93122,7
230,120.600096,27.956312,11
231,120.7078,27.995464,1
232,120.59592,28.0199,8
233,120.70635,27.9299,13
234,120.62547,28.01828,9
235,120.65984,28.00874,3
236,120.69379,27.99675,0
237,120.592786,28.023421,8
238,120.706695,27.985024,1
239,120.7934,28.03887,14
240,120.58125,28.02561,12
241,120.66221,28.01127,3
243,120.647161,28.000291,3
244,120.69711,28.08021,16
245,120.6639,27.9517,4
246,120.66596,27.95634,4
247,120.70544,28.04031,1
248,120.702032,28.002229,1
249,120.84188,27.91719,7
250,120.656448,28.014565,3
251,120.8324,27.90975,7
252,120.73534,27.9874,5
253,120.6874,27.9787,0
254,120.596926,28.023933,8
255,120.79786,27.91211,7
257,120.602335,28.076984,10
258,120.608952,27.986706,6
259,120.66531,28.05022,2
260,120.58163,27.970062,6
261,120.67431,27.99005,0
262,120.6532,27.998528,3
263,120.628893,27.988147,6
264,120.66232,28.01535,3
267,120.80251,27.87206,7
268,120.662539,28.002086,3
269,120.80604,27.96807,7
270,120.68649,28.01764,1
271,120.567095,27.956794,11
272,120.635725,28.007544,3
273,120.64691,28.02613,2
274,120.81508,27.93493,7
275,120.75114,27.92044,5
276,120.72704,27.98206,1
277,120.631945,28.000512,6
278,120.69882,28.00309,1
279,120.73383,27.98465,5
280,120.58958,28.07993,10
281,120.77876,27.94397,7
282,120.68132,27.99564,0
283,120.744,27.98338,5
284,120.69437,27.92764,13
285,120.80936,27.90175,7
286,120.67565,28.02291,3
287,120.630326,27.986822,6
288,120.7048,27.92329,13
289,120.672178,27.986896,0
290,120.65943,28.01162,3
291,120.659016,28.023257,3
292,120.65898,28.02857,2
293,120.635142,28.02476,3
295,120.57606,28.02333,12
296,120.81461,27.93013,7
297,120.80675,27.92911,7
298,120.70164,27.92054,13
299,120.725833,27.968888,5
300,120.75992,27.9685,5
301,120.5882,27.93112,11
302,120.70277,27.9241,13
303,120.64947,28.01193,3
304,120.70667,27.9225,13
305,120.618079,28.008511,9
306,120.67802,27.93177,13
307,120.65876,28.01573,3
308,120.58698,28.07118,10
309,120.59516,27.95804,11
310,120.65834,28.01428,3
312,120.67456,27.97483,4
313,120.63408,27.900456,15
314,120.74458,27.97965,5
315,120.54804,28.09085,10
316,120.67291,27.85765,15
317,120.655,28.01994,3
318,120.64743,27.97271,4
319,120.66539,27.93831,4
320,120.616401,28.007536,9
321,120.76821,27.941,5
322,120.695,27.994,0
323,120.70905,28.00586,1
324,120.70684,27.98847,1
325,120.811222,27.867766,7
326,120.71557,28.0003,1
327,120.64367,28.02432,3
328,120.65781,28.05929,2
329,120.6556,27.86838,15
330,120.688,27.8779,15
331,120.62042,28.03958,2
332,120.68731,28.00341,0
333,120.71887,28.00769,1
334,120.62474,27.984462,6
335,120.66784,27.93483,4
336,120.699788,27.999046,1
337,120.68205,28.00383,0
338,120.738888,27.978332,5
339,120.675534,28.022694,3
340,120.68514,27.99961,0
341,120.64468,27.98975,6
343,120.62365,28.03943,2
344,120.62687,27.99981,3
345,120.788686,27.885116,7
346,120.66058,28.01218,3
347,120.71681,27.98785,1
348,120.6897,28.07753,16
349,120.70288,27.92317,13
351,120.69043,27.98417,0
352,120.694015,28.007743,1
353,120.60876,28.04744,2
354,120.80841,28.09795,14
355,120.82313,27.92887,7
356,120.84172,28.03768,14
357,120.57447,28.03643,12
358,120.74135,27.96854,5
359,120.6614,28.0113,3
360,120.80128,27.93627,7
361,120.79908,27.95277,7
362,120.60605,28.01738,8
364,120.5833,28.01704,12
365,120.65734,27.98328,4
366,120.658121,28.026431,2
367,120.60381,27.99233,6
368,120.69666,28.0175,1
369,120.83323,27.9277,7
370,120.65292,27.95455,4
371,120.80753,27.93031,7
372,120.68028,27.99629,0
373,120.55599,28.09339,10
374,120.64497,28.09473,10
375,120.68107,28.00026,0
376,120.66759,27.94798,4
377,120.606461,28.011319,8
378,120.79525,27.96458,7
379,120.82092,27.87831,7
380,120.68299,27.92086,13
381,120.67111,27.99445,0
382,120.6623,28.01967,3
383,120.58705,28.05006,12
384,120.63301,28.01405,9
385,120.72481,28.00125,1
386,120.67969,27.99487,0
387,120.58292,28.0246,12
388,120.710296,28.002723,1
389,120.62116,28.01058,9
390,120.65665,28.00489,3
391,120.64301,28.02273,3
392,120.80723,27.90266,7
394,120.593311,28.029211,8
395,120.675467,27.856355,15
396,120.65996,27.85425,15
397,120.56366,27.98278,6
398,120.65986,28.01337,3
399,120.67908,28.02201,3
400,120.658,28.03874,2
401,120.719787,27.994305,1
402,120.66205,28.01188,3
403,120.71034,27.98093,1
404,120.72422,28.00043,1
405,120.680662,27.989232,0
406,120.77895,27.89033,7
407,120.58226,28.026727,12
408,120.6339,28.05042,2
409,120.75661,27.95855,5
410,120.82795,27.95123,7
411,120.70809,27.99841,1
412,120.67813,27.91108,13
413,120.647586,28.00904,3
414,120.59686,27.96162,11
415,120.65219,28.01975,3
416,120.718867,28.007694,1
417,120.59707,27.95978,11
418,120.705277,27.925833,13
419,120.82665,27.92169,7
420,120.715049,28.019477,1
421,120.8268,27.91626,7
422,120.70299,28.00525,1
423,120.822852,27.962446,7
424,120.669507,28.025412,3
426,120.641498,28.025933,2
427,120.669146,28.005808,3
428,120.64799,28.02544,2
429,120.65288,28.02382,2
430,120.69558,28.00437,1
431,120.6803,28.00412,0
432,120.67929,28.00074,0
433,120.662,28.0276,2
434,120.62056,28.07246,10
435,120.69777,28.00035,1
436,120.66769,28.01004,3
437,120.666286,27.98847,0
438,120.62364,28.03933,2
439,120.64816,28.02332,3
440,120.64716,28.00029,3
441,120.549944,28.102055,10
442,120.83163,27.92124,7
443,120.64688,28.01674,3
444,120.8418,28.04329,14
445,120.68119,27.99681,0
446,120.61459,27.98581,6
447,120.7118,27.99055,1
448,120.599644,28.024644,8
449,120.70133,27.93173,13
450,120.57156,27.96474,6
451,120.634722,28.023056,3
452,120.62114,28.01066,9
453,120.643318,28.023866,3
454,120.66708,27.98,4
455,120.713162,27.992983,1
456,120.5735,28.04137,12
457,120.70462,28.01851,1
458,120.64507,27.87682,15
460,120.710262,27.996057,1
461,120.81737,27.8974,7
462,120.70312,27.92121,13
463,120.57609,28.02702,12
464,120.64111,27.9659,6
465,120.70852,27.9928,1
466,120.6404,27.993,6
467,120.68848,28.012398,1
468,120.59155,28.02464,8
469,120.67892,28.00657,0
470,120.646811,28.024081,3
472,120.65961,28.02401,3
473,120.78177,27.94738,7
474,120.633224,28.043365,2
475,120.62389,27.98226,6
476,120.70229,27.92198,13
477,120.731284,27.994763,1
478,120.68318,27.99693,0
479,120.63091,27.89857,15
480,120.61333,28.00513,9
481,120.59212,28.00644,8
482,120.74776,27.97359,5
483,120.68332,28.015482,3
484,120.66279,27.99334,0
485,120.66081,28.013032,3
486,120.74612,27.97508,5
487,120.67428,27.98776,0
488,120.71924,28.01171,1
489,120.67799,27.99167,0
490,120.6298,28.00307,3
491,120.661141,28.014866,3
492,120.71419,27.99261,1
494,120.80445,27.93506,7
495,120.830533,27.994253,14
496,120.628333,27.993833,6
497,120.70763,27.99143,1
498,120.663767,27.985475,0
499,120.62726,28.04339,2
500,120.7112,27.99978,1
501,120.686025,28.004176,0
502,120.651576,27.975415,4
503,120.58152,27.89463,17
504,120.81463,28.05578,14
505,120.64542,28.0045,3
506,120.65678,27.8557,15
507,120.7051,27.98393,0
508,120.65572,28.04337,2
509,120.68025,28.01374,3
510,120.60077,28.04567,12
511,120.66076,28.02464,3
512,120.66311,27.96138,4
513,120.682999,27.921152,13
515,120.62801,27.96781,6
517,120.69767,27.99235,0
518,120.666909,28.025347,3
519,120.63892,27.98972,6
520,120.79251,27.88953,7
521,120.66739,27.99979,3
522,120.60011,27.95536,11
523,120.60428,28.01991,8
524,120.7382,27.98139,5
525,120.70713,27.92276,13
526,120.682807,27.985748,0
527,120.765282,28.027803,1
528,120.628219,27.987113,6
529,120.68077,28.01174,3
530,120.691201,28.001624,0
531,120.71952,27.991394,1
532,120.730631,27.972365,5
533,120.66759,27.97788,4
534,120.66978,27.93767,4
535,120.79906,27.96456,7
536,120.714666,27.978638,1
537,120.69582,27.91572,13
538,120.7908,28.03625,14
539,120.65303,28.01516,3
540,120.66772,27.9981,3
541,120.60948,27.96193,11
542,120.70268,28.00788,1
543,120.70011,27.92843,13
544,120.58709,28.05007,12
545,120.65937,27.96676,4
546,120.68433,27.92076,13
547,120.67877,27.98521,0
548,120.66766,28.02569,3
549,120.7286,28.00025,1
550,120.72365,28.0076,1
551,120.79032,27.86131,7
552,120.74141,27.96536,5
553,120.66,27.999,3
554,120.80151,28.02289,14
555,120.61084,27.97023,6
556,120.62903,27.99014,6
558,120.708842,27.992633,1
559,120.664025,27.858601,15
560,120.703784,28.016323,1
561,120.641626,28.02374,3
562,120.70333,27.92439,13
563,120.65442,28.03956,2
564,120.648792,28.026517,2
565,120.66454,28.00841,3
566,120.68531,28.0085,0
567,120.70491,27.92073,13
568,120.701917,28.017992,1
569,120.635923,28.006636,3
570,120.5703,28.0722,10
571,120.65872,28.00238,3
572,120.56614,27.99271,6
573,120.672952,28.014374,3
574,120.71241,27.93368,13
575,120.66776,27.98117,0
576,120.63138,28.02002,3
577,120.838836,28.018317,14
578,120.68358,27.91219,13
579,120.65477,27.99223,4
580,120.6552,28.02797,2
581,120.77134,27.93237,5
582,120.81319,27.86958,7
583,120.644214,28.023258,3
584,120.62841,27.99383,6
585,120.70215,28.00115,1
587,120.54988,27.99992,6
588,120.68291,27.98547,0
589,120.664223,28.013126,3
590,120.68406,27.98463,0
591,120.716163,28.008214,1
592,120.58581,28.07596,10
593,120.83739,27.91758,7
594,120.67357,27.99348,0
595,120.67808,28.01681,3
596,120.6784,27.93874,13
597,120.755771,27.970046,5
598,120.660277,27.993055,0
599,120.72684,27.97321,5
600,120.64776,28.00892,3
601,120.83255,27.91157,7
602,120.65224,27.95585,4
603,120.62661,27.97164,6
604,120.594444,28.015777,8
605,120.57913,28.0258,12
606,120.6409,28.004829,3
607,120.649228,28.024021,2
608,120.69233,27.99367,0
609,120.62016,28.02096,8
610,120.69771,28.00376,1
611,120.820794,27.867358,7
612,120.678,27.9917,0
613,120.659,27.999,3
614,120.65063,28.0124,3
615,120.67677,27.99109,0
616,120.6816,27.98866,0
617,120.594287,28.013371,8
618,120.59436,28.03155,12
619,120.65921,28.01319,3
620,120.65651,27.99255,4
621,120.61075,27.98848,6
622,120.718744,27.991878,1
623,120.68649,27.94373,13
624,120.66394,28.01854,3
625,120.675503,28.008366,3
627,120.66193,28.0494,2
628,120.82878,27.92742,7
629,120.676028,28.0608,2
630,120.699,28.0017,1
631,120.56357,27.98274,6
633,120.70392,27.98491,0
634,120.60873,28.02449,8
635,120.66062,27.91455,15
636,120.70958,27.98612,1
637,120.68916,28.01522,1
638,120.62159,27.99736,6
639,120.82636,27.86661,7
640,120.65806,28.01677,3
642,120.757662,27.942723,5
643,120.65147,28.04355,2
644,120.65944,28.01278,3
645,120.646666,28.026111,2
646,120.67872,28.02101,3
647,120.63133,27.9749,6
648,120.69413,27.92779,13
649,120.645555,27.981943,4
650,120.729412,27.980495,5
651,120.60146,28.05562,2
652,120.80236,27.88623,7
653,120.56603,28.03924,12
654,120.662222,28.009166,3
655,120.71918,28.03962,1
656,120.59217,27.96161,11
657,120.706921,27.878795,15
658,120.79364,28.01872,14
659,120.58452,27.98025,6
660,120.66801,27.99791,3
661,120.6999,28.00053,1
662,120.643553,28.011023,3
663,120.66377,27.97693,4
664,120.67216,27.99313,0
665,120.675,27.9992,0
666,120.58467,28.07352,10
667,120.732437,27.986198,5
668,120.60976,28.0105,8
669,120.63174,28.01255,9
670,120.60664,28.026927,8
671,120.681383,27.99588,0
672,120.59359,27.96719,6
673,120.60495,28.05464,2
674,120.58073,28.02488,12
675,120.6689,27.91318,13
676,120.683,27.92115,13
677,120.619569,28.040628,2
678,120.65654,28.04554,2
680,120.83505,27.95109,7
681,120.651759,27.916503,15
682,120.629,28.0412,2
683,120.654752,28.02385,2
684,120.62827,27.88258,15
685,120.56591,27.97822,6
686,120.57132,28.035763,12
687,120.696659,28.006318,1
688,120.68283,28.008405,0
689,120.705368,28.001145,1
690,120.68989,28.0021,0
691,120.58736,28.05782,2
692,120.6991,28.00622,1
693,120.73532,27.97736,5
694,120.686,28.015,1
695,120.586916,28.054694,2
696,120.569257,27.960958,11
697,120.70279,27.92414,13
698,120.60869,28.07126,10
699,120.661939,28.012774,3
700,120.61638,28.01302,9
701,120.69981,28.0027,1
702,120.72061,27.94104,5
703,120.59982,27.99417,6
704,120.643433,28.001326,3
705,120.63088,28.00227,3
706,120.65315,28.01787,3
707,120.84201,28.0008,14
708,120.7072,27.9343,13
709,120.73361,27.97153,5
710,120.680523,27.99012,0
712,120.677777,28.0225,3
713,120.55941,28.09089,10
714,120.65221,28.02373,2
715,120.65028,27.970689,4
717,120.71099,28.00547,1
718,120.72368,27.96911,5
719,120.665719,28.013227,3
720,120.74186,27.97976,5
721,120.576055,28.023333,12
722,120.82314,27.92889,7
723,120.6415,28.01311,3
724,120.64931,27.99279,3
725,120.65821,27.94479,4
726,120.64324,28.00074,3
727,120.69355,28.00933,1
728,120.65771,27.98895,4
729,120.60588,28.02336,8
730,120.69668,28.0101,1
731,120.71645,28.00847,1
732,120.648,28.016,3
733,120.69144,27.92387,13
734,120.60609,28.01097,8
735,120.637184,27.993371,6
736,120.67933,28.02026,3
737,120.70313,27.99999,1
738,120.81554,27.9652,7
739,120.8004,28.0287,14
740,120.622423,28.011421,9
741,120.65688,27.95095,4
742,120.641029,28.069541,2
743,120.713964,28.008176,1
744,120.66496,27.96358,4
745,120.65027,28.04541,2
746,120.66986,27.94545,4
747,120.66003,28.01175,3
748,120.711,27.9266,13
749,120.76993,27.9345,5
750,120.70707,28.00685,1
751,120.61195,28.02449,8
752,120.65697,27.9454,4
755,120.698,27.928,13
756,120.82388,27.90472,7
757,120.680477,27.986412,0
758,120.68153,27.99542,0
759,120.74249,27.97238,5
